FactTable
1, B, X, p1, b, 40, -33, 1800, 24
71, A, X, psi, w, 9, 0, 1000, 72
72, B, Y, psi, l, 36, -22, 300, 126
73, A, X, p3, w, 27, 110, 2000, 130
74, C, X, lri, b, 33, 88, 400, 24
75, B, Y, p3, l, 9, -22, 700, 78
76, B, X, psi, a, 26, 33, 300, 54
77, B, X, p1, l, 18, -33, 900, 18
78, C, X, p1, b, 44, 22, 1200, 56
79, A, X, p2, w, 19, 0, 1800, 80
80, A, X, p3, b, 47, -22, 100, 45
81, B, Y, p1, a, 19, 0, 1300, 136
82, B, X, p1, a, 37, 0, 1000, 80
83, A, Y, lri, a, 34, -22, 1300, 160
84, B, X, lri, w, 37, 99, 1400, 190
85, C, X, lri, b, 14, 110, 1700, 36
86, A, Y, psi, a, 42, -11, 200, 64
87, B, X, p2, l, 49, -22, 200, 15
88, B, X, p1, a, 3, -44, 300, 12
89, C, X, psi, a, 29, 55, 700, 104
90, A, X, p3, w, 24, 22, 1600, 76
91, B, X, lri, a, 3, 0, 2000, 96
92, B, X, psi, w, 21, -11, 200, 171
93, C, Y, p1, a, 22, 77, 600, 150
94, B, X, p3, b, 23, 33, 1400, 108
95, A, Y, psi, a, 28, 77, 900, 95
96, C, Y, p3, a, 27, -33, 400, 180
97, B, X, p1, b, 34, 77, 1300, 162
98, C, X, p2, w, 46, -22, 1200, 96
99, A, X, p2, w, 1, 33, 2000, 48
100, B, X, lri, l, 30, 66, 1100, 95
101, B, Y, p2, b, 16, -33, 400, 51
102, C, Y, psi, w, 31, -11, 900, 56
103, C, X, lri, l, 19, -55, 700, 32
104, B, X, p3, a, 6, 88, 1200, 24
105, C, Y, p1, b, 44, -11, 1300, 70
106, A, X, p3, b, 4, -11, 1500, 112
107, A, X, p2, l, 13, 33, 100, 136
108, C, Y, lri, w, 3, 11, 400, 30
109, A, Y, p1, l, 47, -44, 1700, 77
110, C, X, p1, a, 5, 11, 2000, 112
111, A, Y, p2, w, 25, -55, 1500, 14
112, B, X, lri, w, 40, 88, 1500, 98
113, B, X, lri, w, 47, -44, 1500, 18
114, A, Y, p1, l, 13, 22, 800, 21
115, B, Y, psi, a, 14, -55, 900, 144
116, C, Y, psi, w, 46, 77, 1100, 12
117, A, Y, psi, w, 9, 33, 600, 80
118, A, Y, p2, a, 34, 11, 1700, 56
119, B, X, psi, b, 43, 22, 100, 42
120, C, X, p2, a, 25, 66, 800, 51
121, C, X, lri, a, 41, 44, 1600, 180
122, A, Y, psi, a, 5, -11, 1600, 133
123, C, Y, p2, b, 1, 22, 700, 120
124, B, X, p1, b, 20, 44, 1600, 144
125, C, Y, lri, b, 22, 33, 300, 72
126, B, Y, lri, a, 33, 66, 1800, 135
127, C, X, p1, b, 37, 22, 1300, 54
128, C, Y, psi, b, 25, 11, 1100, 162
129, A, X, p1, l, 20, 44, 600, 26
130, B, X, p3, l, 41, -22, 1500, 14
131, A, Y, psi, b, 34, -22, 1600, 26
132, C, Y, p1, a, 34, 66, 2000, 18
133, A, X, p2, w, 30, 0, 200, 128
134, B, Y, psi, l, 29, 11, 700, 36
135, A, Y, p2, a, 34, 110, 1900, 16
136, B, X, lri, w, 48, 44, 800, 72
137, C, Y, p2, b, 49, -33, 1800, 48
138, B, X, p2, w, 40, 99, 1100, 171
139, B, X, p1, a, 15, 77, 600, 44
140, C, Y, p3, l, 8, 99, 1900, 18
141, C, Y, p3, a, 29, -22, 500, 44
142, C, Y, p3, w, 37, -33, 1000, 120
143, C, X, p2, l, 15, 44, 600, 14
144, A, X, lri, a, 20, -33, 1900, 126
145, A, Y, psi, a, 41, 33, 1200, 17
146, A, X, lri, l, 20, -22, 1400, 48
147, C, Y, p3, w, 47, 110, 1300, 171
148, A, X, p3, w, 5, 55, 1000, 63
149, C, X, p1, w, 7, 66, 1800, 91
150, B, Y, psi, l, 18, 0, 1200, 105
151, B, X, p3, b, 15, -11, 900, 12
152, A, X, p1, l, 27, 66, 1700, 17
153, C, X, p3, l, 28, -44, 1900, 39
154, A, X, p3, w, 37, 33, 2000, 144
155, B, X, p2, w, 42, 55, 1900, 21
156, B, Y, lri, a, 27, 33, 1000, 65
157, B, Y, p3, a, 14, -33, 400, 100
158, A, Y, p3, a, 34, -44, 1800, 45
159, C, Y, lri, a, 32, 0, 1100, 36
160, A, Y, psi, l, 46, 0, 1800, 80
161, A, Y, p1, l, 12, -55, 800, 28
162, B, Y, psi, w, 28, 22, 100, 96
163, B, X, p2, b, 33, -55, 200, 95
164, A, Y, psi, l, 34, 110, 300, 24
165, B, X, lri, a, 39, 22, 500, 60
166, A, Y, p1, a, 28, 66, 1800, 72
167, B, X, psi, a, 18, -11, 1500, 108
168, B, X, p1, a, 40, 55, 1800, 60
169, B, X, p1, a, 29, 55, 1900, 39
170, C, Y, p2, b, 9, -22, 1900, 152
171, B, X, p2, a, 10, 110, 700, 72
172, C, Y, lri, l, 36, 66, 200, 65
173, C, Y, psi, a, 39, 11, 900, 20
174, B, Y, p3, l, 31, -33, 600, 32
175, B, Y, p1, l, 48, 11, 1800, 48
176, A, Y, psi, a, 48, 110, 2000, 95
177, A, X, lri, w, 21, 22, 900, 84
178, C, Y, p1, b, 34, 66, 600, 50
179, A, X, p2, w, 12, -55, 1400, 34
180, B, X, lri, b, 35, 110, 300, 18
181, B, Y, p2, a, 47, -44, 900, 150
182, A, Y, p1, b, 5, 77, 700, 11
183, C, Y, lri, w, 2, 99, 800, 112
184, B, X, psi, l, 50, 0, 1700, 99
185, B, Y, p1, l, 7, 110, 1700, 28
186, C, X, p1, a, 3, 88, 300, 104
187, A, X, psi, w, 30, 33, 2000, 60
188, B, Y, p1, b, 26, 33, 800, 91
189, C, X, psi, w, 17, 88, 1900, 100
190, B, X, lri, b, 47, 77, 1900, 72
191, B, Y, p2, a, 44, 66, 600, 28
192, B, Y, p3, w, 12, 33, 1500, 28
193, C, Y, lri, w, 17, 77, 600, 80
194, A, Y, p2, l, 2, -44, 700, 136
195, C, Y, lri, w, 27, -22, 1600, 76
196, C, X, p2, b, 26, -44, 300, 128
197, B, Y, p1, b, 50, 99, 400, 24
198, C, X, lri, w, 48, 88, 600, 24
199, A, Y, p1, w, 34, 88, 1900, 90
200, C, Y, lri, w, 25, -55, 2000, 64
201, A, Y, p2, l, 24, -11, 100, 153
202, A, Y, p2, b, 42, 44, 400, 90
203, C, X, p2, b, 39, 44, 400, 48
204, A, Y, p1, a, 44, 22, 100, 20
205, A, X, lri, b, 2, 99, 100, 34
206, B, Y, p1, b, 23, 33, 1100, 72
207, B, Y, lri, b, 49, -44, 1400, 48
208, B, Y, p1, a, 44, 44, 500, 140
209, C, Y, p2, b, 23, 110, 700, 65
210, A, Y, psi, l, 13, 77, 900, 44
211, A, Y, lri, w, 28, 88, 1700, 15
212, B, Y, p2, l, 33, -33, 900, 38
213, A, Y, psi, l, 44, 33, 800, 98
214, A, X, p2, b, 26, 55, 200, 28
215, B, Y, p1, b, 7, 110, 1300, 54
216, C, Y, p1, l, 32, -22, 1000, 11
217, B, Y, p3, l, 49, -33, 2000, 65
218, C, Y, p3, b, 36, 22, 1800, 170
219, B, Y, p1, l, 43, -22, 1300, 78
220, C, Y, p2, w, 17, 99, 200, 152
221, B, X, psi, w, 43, 33, 200, 49
222, A, X, psi, a, 12, 44, 2000, 119
223, B, Y, lri, a, 8, 55, 500, 112
224, B, Y, p3, b, 1, -22, 1200, 35
225, B, X, lri, b, 35, -33, 200, 45
226, B, Y, lri, b, 6, -11, 1800, 14
227, C, X, p1, w, 5, -55, 1400, 114
228, B, X, p1, w, 33, 99, 1000, 40
229, A, Y, lri, a, 8, 77, 1000, 54
230, B, X, p2, a, 16, -33, 1500, 128
231, C, Y, lri, b, 33, -11, 1900, 14
232, B, Y, lri, l, 8, -22, 100, 56
233, C, Y, p3, l, 2, 99, 1100, 54
234, B, Y, p1, b, 19, 110, 1100, 48
235, B, Y, psi, a, 25, 77, 1100, 98
236, C, X, p3, w, 28, -55, 400, 90
237, B, X, p3, a, 1, -11, 1300, 135
238, B, Y, lri, l, 10, -22, 1600, 24
239, A, X, p1, l, 32, 88, 900, 34
240, C, X, p3, w, 36, -22, 200, 88
241, A, X, p3, l, 26, 11, 1400, 36
242, B, Y, lri, b, 41, 11, 600, 60
243, B, Y, p2, a, 20, 22, 1800, 120
244, C, X, p2, l, 41, 55, 800, 14
245, B, Y, psi, l, 5, 22, 800, 90
246, B, Y, psi, w, 36, -22, 400, 60
247, A, X, p3, w, 1, 44, 1900, 140
248, B, X, lri, a, 19, 88, 100, 126
249, C, Y, p1, b, 45, 11, 1100, 120
250, C, Y, lri, b, 7, 110, 2000, 12
251, B, X, psi, b, 38, 0, 700, 140
252, A, X, psi, b, 37, 77, 1000, 42
253, C, Y, p1, w, 50, -44, 1400, 144
254, B, X, p2, a, 3, 44, 1000, 50
255, A, X, p2, l, 11, 88, 200, 81
256, C, Y, psi, b, 33, 0, 600, 162
257, B, Y, p2, w, 46, 55, 1000, 112
258, C, X, psi, w, 15, -44, 700, 15
259, C, Y, lri, b, 12, 0, 1400, 49
260, A, Y, p3, w, 36, 99, 400, 18
261, B, X, p2, l, 34, -22, 2000, 55
262, A, X, psi, a, 30, 0, 1900, 90
263, A, X, p1, a, 32, 11, 1600, 30
264, B, Y, lri, l, 9, -11, 600, 140
265, B, Y, p1, l, 13, 55, 2000, 42
266, C, X, p1, l, 9, 0, 800, 190
267, B, X, psi, b, 21, 110, 1400, 76
268, C, Y, p2, b, 42, 66, 1200, 18
269, A, X, p2, l, 5, -44, 1600, 55
270, B, Y, lri, a, 33, 55, 100, 153
271, B, Y, p1, l, 27, 22, 800, 76
272, B, Y, p1, b, 31, 99, 1400, 39
273, B, X, lri, a, 40, 55, 100, 130
274, A, X, psi, w, 38, -44, 1500, 14
275, C, X, p3, b, 5, -33, 100, 13
276, B, X, lri, w, 37, -11, 1400, 54
277, A, Y, p3, a, 13, 0, 900, 70
278, C, Y, p1, l, 37, 110, 2000, 180
279, B, X, psi, w, 33, 55, 2000, 66
280, C, Y, p2, w, 15, -22, 1700, 140
281, C, Y, p2, w, 44, -33, 900, 72
282, C, Y, p1, b, 28, -33, 1100, 80
283, A, X, p2, w, 30, 11, 1500, 110
284, A, Y, lri, b, 4, 88, 100, 60
285, B, X, p1, b, 43, 110, 2000, 152
286, B, X, p3, l, 19, -11, 700, 120
287, B, X, lri, a, 21, 66, 800, 14
288, C, X, p3, w, 41, 22, 500, 108
289, C, Y, p1, l, 45, -44, 200, 102
290, C, Y, p1, w, 5, 33, 1500, 80
291, C, X, psi, a, 39, 22, 1300, 56
292, C, X, lri, a, 6, 66, 1800, 160
293, B, Y, p3, w, 38, 55, 200, 13
294, C, Y, p1, l, 25, 66, 900, 44
295, C, Y, p2, w, 18, 33, 200, 12
296, A, X, p3, a, 42, -44, 700, 102
297, C, Y, p1, a, 24, 88, 1200, 17
298, B, X, lri, b, 8, 66, 1400, 21
299, A, Y, lri, l, 40, 110, 200, 180
300, C, Y, p3, w, 15, 11, 1700, 117
301, C, X, psi, l, 22, -11, 1200, 78
302, C, X, p2, a, 26, 66, 1300, 90
303, C, X, p2, w, 11, -44, 500, 44
304, C, X, p3, w, 39, 22, 1400, 27
305, A, X, p2, l, 14, -55, 900, 36
306, A, X, p2, a, 41, 44, 100, 60
307, B, Y, p1, a, 44, -33, 1800, 126
308, C, X, p3, l, 11, 11, 800, 30
309, A, Y, p2, a, 30, -44, 300, 20
310, C, Y, p2, l, 3, -22, 1800, 16
311, A, X, p1, a, 14, 11, 1600, 126
312, C, Y, p2, b, 23, 77, 1400, 18
313, C, X, p2, b, 31, 44, 2000, 102
314, B, X, lri, l, 44, 88, 600, 30
315, A, X, lri, l, 14, -22, 900, 38
316, A, Y, lri, w, 16, 44, 500, 60
317, C, X, lri, b, 38, 11, 1400, 70
318, C, Y, psi, a, 1, -55, 2000, 95
319, C, Y, p2, b, 1, 44, 1700, 15
320, A, X, p3, w, 16, 110, 1900, 54
321, A, Y, p3, a, 15, 22, 1600, 54
322, C, X, p1, l, 48, -22, 1000, 28
323, C, Y, p2, a, 16, 33, 400, 170
324, B, X, psi, w, 12, 99, 900, 45
325, A, Y, p2, b, 26, 88, 2000, 85
326, A, X, p1, b, 45, 77, 700, 11
327, C, Y, lri, l, 22, -11, 1600, 60
328, A, Y, lri, a, 9, 99, 300, 81
329, A, X, p3, b, 12, -44, 400, 153
330, A, X, p1, l, 35, -55, 200, 63
331, B, X, lri, a, 28, 66, 500, 60
332, A, X, p2, l, 21, 66, 1100, 144
333, B, Y, p1, l, 31, -55, 500, 26
334, C, Y, p1, w, 24, 55, 500, 117
335, C, X, p2, l, 35, 88, 100, 150
336, A, X, p1, b, 49, 55, 900, 72
337, B, Y, p2, w, 29, 11, 2000, 21
338, B, Y, lri, b, 1, -33, 800, 72
339, A, Y, p3, b, 10, -44, 1100, 162
340, C, Y, lri, a, 37, 110, 400, 140
341, C, X, p3, a, 31, -55, 600, 26
342, B, X, lri, w, 21, 77, 1300, 64
343, C, X, psi, a, 18, -11, 1800, 63
344, C, X, p3, a, 28, 33, 1600, 77
345, A, X, p1, b, 26, 0, 1900, 27
346, B, X, p1, b, 30, -22, 600, 26
347, B, Y, lri, l, 35, -11, 2000, 144
348, A, Y, lri, l, 18, 0, 1300, 14
349, B, X, lri, w, 8, 66, 100, 21
350, B, Y, psi, a, 3, 55, 600, 72
351, C, Y, lri, w, 9, 66, 1400, 91
352, B, X, lri, w, 43, 0, 1100, 22
353, A, Y, lri, l, 39, -55, 200, 104
354, B, X, lri, a, 22, 88, 1200, 63
355, B, Y, p2, a, 31, -22, 600, 108
356, A, Y, lri, l, 36, 110, 800, 39
357, A, X, psi, b, 44, 77, 500, 45
358, B, Y, p1, l, 47, 0, 1000, 105
359, B, Y, p2, w, 32, 11, 700, 34
360, A, X, psi, b, 34, 88, 1100, 70
361, A, X, lri, l, 31, 99, 600, 68
362, B, X, psi, w, 33, -11, 500, 108
363, A, X, p3, w, 19, 88, 1400, 96
364, A, X, p1, b, 9, -33, 300, 30
365, B, X, psi, l, 43, -44, 1300, 16
366, A, Y, p3, l, 24, 99, 600, 56
367, C, Y, p3, l, 48, -33, 600, 68
368, A, X, p1, l, 23, -11, 1200, 136
369, B, Y, psi, l, 49, 44, 1700, 70
370, C, X, p2, b, 23, -33, 2000, 24
371, B, X, psi, a, 37, -22, 2000, 10
372, A, X, psi, b, 9, 88, 1900, 14
373, A, Y, p1, w, 1, -33, 1100, 36
374, C, Y, p1, b, 20, 33, 1300, 60
375, C, X, p2, b, 31, -55, 1000, 8
376, B, Y, p2, a, 9, -33, 100, 112
377, B, Y, lri, l, 25, -33, 900, 54
378, C, Y, p3, w, 7, 99, 900, 78
379, C, Y, p2, l, 23, 0, 300, 27
380, A, X, p3, l, 44, 110, 1200, 150
381, B, Y, p1, b, 20, 99, 1300, 180
382, A, X, psi, w, 41, 77, 2000, 100
383, C, X, p1, l, 43, 22, 1400, 42
384, C, X, p1, a, 32, 55, 1200, 90
385, C, Y, p2, w, 17, 44, 700, 40
386, A, Y, p2, b, 30, -22, 1300, 70
387, B, X, psi, a, 35, 110, 1000, 12
388, B, X, p2, w, 13, 88, 900, 35
389, A, Y, p1, w, 16, 88, 600, 42
390, B, X, psi, w, 13, 66, 800, 18
391, A, X, psi, l, 34, 0, 300, 96
392, A, Y, lri, w, 38, 77, 900, 90
393, B, X, p2, a, 1, 33, 1100, 42
394, C, Y, lri, a, 8, -11, 1400, 128
395, C, X, psi, a, 43, 22, 2000, 98
396, A, X, p2, w, 13, 33, 600, 35
397, A, Y, p1, w, 7, -22, 100, 14
398, C, X, psi, a, 42, -55, 1500, 13
399, B, X, lri, a, 34, 22, 1300, 135
400, A, X, lri, l, 45, 55, 700, 63
401, A, X, lri, l, 15, -55, 1300, 54
402, B, X, p3, w, 16, -44, 1800, 65
403, C, Y, psi, a, 30, -55, 300, 190
404, A, X, p3, b, 19, 110, 300, 9
405, A, Y, lri, w, 27, 88, 1600, 140
406, A, Y, p2, w, 44, -44, 1900, 48
407, A, Y, p1, w, 19, -33, 300, 20
408, B, X, psi, b, 3, 110, 200, 36
409, C, Y, lri, b, 46, 110, 1500, 102
410, C, X, psi, b, 29, -55, 1800, 63
411, A, Y, lri, b, 26, 77, 900, 48
412, A, Y, lri, a, 13, 11, 1900, 32
413, B, Y, p3, w, 49, -44, 1900, 39
414, C, Y, p1, l, 3, 44, 1800, 48
415, C, X, p3, a, 38, -55, 1000, 32
416, A, Y, lri, w, 39, 44, 800, 48
417, A, X, p3, a, 50, 77, 800, 117
418, A, Y, p1, w, 27, 11, 200, 56
419, A, Y, p3, a, 28, 88, 1200, 24
420, B, X, psi, w, 17, 0, 600, 56
421, C, X, lri, b, 35, 77, 800, 22
422, A, Y, p2, b, 33, -22, 1800, 36
423, B, X, psi, b, 1, 44, 1200, 144
424, A, X, p2, l, 22, 33, 1500, 70
425, A, X, lri, a, 20, -33, 100, 7
426, A, X, lri, a, 12, 44, 200, 99
427, C, Y, lri, w, 32, 110, 500, 65
428, A, X, p1, w, 23, 22, 600, 85
429, A, Y, lri, w, 41, -22, 1800, 57
430, A, X, p3, l, 23, 77, 1800, 22
431, B, X, p1, b, 10, 55, 100, 33
432, A, Y, psi, b, 40, 77, 200, 21
433, C, X, p2, w, 15, -11, 1300, 88
434, B, X, psi, l, 5, 11, 400, 18
435, C, X, lri, a, 16, 11, 1800, 72
436, A, X, psi, a, 36, -55, 800, 144
437, A, X, p2, a, 22, 55, 1900, 70
438, B, Y, p2, b, 38, 99, 600, 100
439, A, X, psi, l, 6, -22, 2000, 56
440, C, Y, lri, b, 3, -22, 1900, 56
441, C, X, lri, w, 41, 33, 900, 17
442, C, X, p3, w, 49, 44, 400, 28
443, B, X, p1, l, 8, 88, 900, 16
444, A, Y, p1, b, 40, -44, 400, 57
445, B, X, psi, b, 19, 77, 600, 99
446, B, X, psi, l, 49, 77, 100, 171
447, A, Y, lri, b, 30, 22, 900, 63
448, A, Y, p2, w, 29, 99, 800, 108
449, C, Y, psi, a, 25, 33, 1900, 80
450, A, X, p2, w, 9, 88, 1000, 32
451, C, Y, p3, a, 8, -44, 1100, 128
452, C, X, p2, w, 16, 33, 1100, 80
453, A, Y, p2, l, 43, 99, 1400, 42
454, B, X, p2, b, 43, 22, 900, 15
455, C, X, psi, b, 15, 22, 1100, 30
456, B, Y, p3, a, 2, 88, 800, 56
457, C, X, p2, b, 31, 44, 1700, 80
458, A, Y, psi, a, 35, 44, 1300, 96
459, B, Y, lri, b, 37, 44, 1600, 72
460, B, Y, psi, a, 40, -22, 1400, 105
461, A, Y, p3, w, 43, 99, 600, 160
462, B, X, p1, b, 44, 0, 1700, 95
463, A, Y, lri, w, 22, -11, 2000, 8
464, B, X, psi, w, 10, -44, 300, 6
465, C, X, p2, a, 43, -22, 2000, 144
466, C, Y, lri, l, 45, 22, 300, 70
467, B, Y, p1, b, 3, 22, 500, 128
468, A, X, p2, b, 32, 44, 2000, 40
469, A, X, psi, a, 15, 0, 2000, 120
470, C, X, p3, l, 48, 0, 1600, 24
471, B, Y, lri, l, 9, 88, 600, 44
472, A, X, lri, a, 31, 44, 1700, 99
473, B, X, lri, l, 34, 66, 1000, 128
474, B, Y, p1, a, 38, 11, 1200, 110
475, B, X, p3, a, 28, 88, 1300, 117
476, A, Y, psi, l, 8, 66, 1600, 77
477, C, Y, p1, w, 20, 77, 1700, 28
478, B, X, lri, a, 50, 99, 2000, 96
479, C, X, p3, b, 31, 44, 1700, 63
480, B, X, p1, b, 11, 33, 700, 40
481, A, X, p3, b, 2, -22, 1400, 33
482, C, Y, p3, b, 25, 33, 1100, 18
483, B, Y, p2, l, 38, -33, 500, 126
484, C, Y, p1, w, 39, -11, 1300, 42
485, B, Y, p2, l, 35, 33, 100, 40
486, A, X, psi, l, 9, 22, 2000, 18
487, C, X, lri, l, 12, 33, 1100, 84
488, A, Y, lri, b, 48, -55, 800, 55
489, A, X, p3, l, 41, -33, 800, 54
490, C, Y, p1, l, 45, -22, 1600, 65
491, B, Y, p2, w, 34, 66, 1300, 55
492, B, X, psi, w, 13, 66, 1900, 162
493, A, X, psi, a, 18, 0, 2000, 100
494, A, X, lri, b, 34, 0, 1800, 120
495, A, Y, p1, b, 32, -33, 1600, 162
496, C, Y, p2, a, 40, 77, 1100, 171
497, C, Y, p1, l, 30, 0, 1300, 120
498, A, X, psi, b, 23, -44, 1600, 16
499, C, Y, psi, a, 27, -11, 1200, 50
500, C, Y, lri, w, 6, 33, 1200, 48
501, A, Y, p1, l, 21, 77, 1800, 90
502, B, Y, p1, a, 24, 66, 300, 112
503, A, X, p3, b, 20, 66, 1700, 112
504, C, X, p1, w, 9, 22, 900, 12
505, A, X, p2, w, 39, 44, 800, 54
506, A, Y, p2, a, 43, -11, 600, 140
507, C, X, p2, l, 49, 44, 1000, 42
508, B, X, p1, w, 46, 66, 2000, 126
509, B, X, lri, b, 20, 11, 400, 60
510, B, Y, p2, l, 47, 33, 1100, 135
511, C, Y, lri, w, 26, 66, 2000, 64
512, A, Y, p1, b, 37, 11, 1200, 84
513, A, Y, p1, w, 39, 0, 1700, 102
514, C, Y, p2, b, 5, 110, 1900, 51
515, C, Y, lri, a, 17, 22, 700, 33
516, A, Y, p1, a, 27, 99, 700, 38
517, A, Y, lri, b, 16, 0, 1900, 13
518, B, Y, p1, a, 49, 44, 1400, 72
519, A, X, p1, w, 26, -33, 1200, 90
520, A, X, lri, a, 13, 44, 700, 63
521, A, X, lri, w, 23, -22, 1300, 39
522, C, Y, psi, b, 3, 22, 700, 99
523, A, X, p2, l, 10, -33, 1200, 171
524, A, Y, psi, a, 31, 66, 1200, 50
525, B, Y, p2, w, 33, 55, 1800, 117
526, C, Y, p1, b, 37, 11, 600, 84
527, B, X, p1, b, 13, 88, 700, 36
528, C, Y, p1, w, 44, 33, 1700, 108
529, A, X, psi, l, 9, 99, 1900, 108
530, C, X, psi, a, 42, 77, 1300, 171
531, B, X, psi, b, 18, 22, 1900, 48
532, A, Y, p2, a, 38, 0, 1200, 44
533, A, Y, p2, a, 45, 33, 1900, 56
534, C, Y, p3, b, 30, 110, 600, 100
535, A, Y, p1, b, 28, -33, 500, 77
536, A, Y, lri, a, 39, 44, 1100, 108
537, B, X, lri, w, 7, 88, 200, 38
538, A, Y, p1, w, 45, 44, 200, 170
539, A, Y, p1, b, 39, -11, 1100, 126
540, A, Y, p3, w, 35, -11, 1800, 63
541, B, Y, p3, w, 26, 88, 1600, 16
542, B, X, p2, a, 48, -44, 200, 96
543, B, Y, psi, b, 7, 77, 1300, 12
544, B, X, p2, w, 18, 0, 2000, 100
545, A, Y, p2, b, 39, 33, 200, 21
546, A, X, p3, b, 13, -33, 1700, 120
547, A, X, p2, a, 40, 55, 200, 48
548, B, Y, p1, l, 31, 0, 1400, 14
549, B, X, p2, a, 50, 22, 1700, 49
550, B, X, psi, b, 11, 11, 400, 110
551, C, X, p2, b, 39, -33, 500, 12
552, A, X, p3, l, 22, 44, 1700, 7
553, B, Y, psi, b, 21, -33, 1000, 90
554, C, X, psi, w, 33, -33, 500, 26
555, C, Y, lri, b, 50, 99, 200, 30
556, B, Y, p2, l, 4, -11, 1400, 60
557, B, X, p1, w, 12, -55, 1300, 56
558, C, Y, psi, a, 6, 66, 900, 6
559, A, X, psi, b, 6, 11, 900, 70
560, A, Y, lri, a, 16, 88, 200, 112
561, C, X, p1, b, 45, 11, 1900, 26
562, A, Y, psi, b, 15, -55, 2000, 48
563, A, Y, lri, a, 15, 77, 1200, 133
564, C, Y, p1, w, 14, -22, 1000, 42
565, C, Y, p2, w, 49, -55, 500, 72
566, C, X, psi, w, 15, 110, 900, 50
567, A, Y, p3, b, 13, -11, 1200, 91
568, B, X, lri, b, 37, 44, 1700, 78
569, C, X, psi, w, 3, -33, 600, 7
570, B, X, lri, a, 19, 66, 500, 52
571, A, Y, lri, a, 39, 66, 1300, 130
572, A, X, p1, a, 6, 55, 1000, 162
573, C, Y, p2, a, 5, -22, 900, 24
574, B, Y, p1, a, 4, 88, 400, 8
575, B, X, p1, b, 38, 11, 100, 144
576, A, X, lri, b, 36, 110, 1800, 95
577, C, X, lri, w, 9, 0, 1700, 77
578, A, X, psi, w, 34, -33, 1600, 80
579, C, Y, lri, w, 11, 22, 200, 76
580, A, Y, p2, a, 8, -44, 1200, 55
581, A, X, p3, w, 43, 0, 1800, 11
